QC-1,QC-2,QC-3,QC-4,QC-5,QC-6,QC-7,QC-8
15531471,17462590,17240050,17637878,19588245,19039045,20129993,17637421
1045044,677440,692266,210170,406064,838769,866361,679164
25688,16445,20635,29000,29831,26648,33436,25246
317750,329889,354230,333752,426944,368578,428267,355557
53600,50891,6279,52174,54986,36805,52743,49729
125334,100883,104929,108056,110478,94936,116104,99549
4027271,4340571,4607222,4385339,4300566,4237143,4313219,3976672
400727,247137,33363,11473,11749,11471,11261,11387
14069182,13352571,13055085,12178567,12235132,11947396,12487424,11640635
1475498,1347289,1267227,1359208,1113537,1486064,1288720,1468939
25701617,31982264,37152232,35752463,35391734,37828765,36812401,35918572
846562,816135,772878,709859,828925,725412,730177,666594
1590110,4219126,1272321,1335256,1109106,1118248,5984252,1288450
70982,114039,161366,149403,145108,113348,170944,136225
4436739,4394029,4588016,4321956,4358840,4308160,4534716,4044963
47621827,48298382,47281421,48965234,47069655,47551325,48419203,48364282
316436,522659,703332,814206,567236,783506,582117,715530
25064,4326,10254,6549,4720,4127,9124,4223
3361858,3332097,3456311,3186015,3186692,3374490,3408091,3520921
303334,313410,330141,216606,279400,408159,224018,375695
215322,245452,264180,341280,322939,325543,330909,304416
89213,93835,97724,91791,80239,99060,106082,97809
349216818,97175922,92725058,83619164,73991209,78053645,75060346,73429142
10594782,11042564,10639152,11244675,11303980,12154879,10855520,10435690
642359,595142,595637,585722,574384,590486,591091,581203
1255141,2060609,1913899,1926520,1988773,2037526,1978966,2007445
5313048,5709815,6403223,5600816,6043110,5798503,5811618,6120061
1365428,1454268,1482423,1453619,1471641,1442338,1298891,1362188
108907,117654,91763,98631,108786,127355,93488,97696
21138688,21934701,23286503,23288787,23148581,22996693,23597887,23543865
8521,6052,5593,5911,4933,5590,4972,5294
42753,38840,45992,62559,62111,39279,34199,32107
7629967,7789922,5094218,6878278,4091937,7393472,7340544,8050748
14054071,15534301,15662907,14011184,13465929,12909499,12055345,12559141
4332537,2974399,3546907,1578688,2353066,2336727,2005397,1678866
179520,209233,220211,273147,269890,248191,276556,253288
83761837,83832650,83757588,82312788,79275424,79753552,80076535,79801253
28881,26493,23153,29053,28951,23280,29573,23126
128675,100160,112067,111345,24069,116053,119322,119560
166294,196914,200024,227197,219711,167325,150982,142534
60307916,64911242,65346421,62912868,54107989,53681065,50626644,55550699
797034,596490,573548,588341,471902,432547,444280,411760
2001430,1443645,1174679,898742,958527,883258,941765,888888
19450,11653,13137,12273,12097,12402,13217,11057
74544,108315,110155,108428,107871,70248,151353,125594
259375,260656,225533,892752,1255516,1530926,929297,1149763
13952801,12270080,13869880,13173731,12910096,13753726,13480274,13925571
7196546,7032883,6557548,6795196,6645182,6922866,6932532,6970400
33051,38817,474483,467794,451650,439491,314856,446249
3047963,3547510,3136229,3568237,3653996,3538729,3115281,3668472
409879,407423,399764,408608,445347,448205,469112,405032
25511,21129,19043,13675,22873,18793,12213,17066
989119,954983,100151,84283,107647,90938,110118,104352
100353,106572,88952,104282,79506,75862,111989,91514
705795,664015,608385,610090,565065,612183,651130,579202
228461,245296,502062,260854,602095,534158,286235,544249
269976,253280,214619,171215,186914,252862,322932,201919
170719069,94945051,133472167,98478540,85934376,87602959,79668078,88366187
945990,699936,1265444,826862,880795,1060982,1177286,653204
21140,93819,21398,97832,91101,22006,97104,83342
1641432,2318429,1150388,1855356,1857715,2995181,2907608,1000305
3313202,4361568,3838121,4230062,4354435,3515761,4318219,3868991
483148,366808,398927,379321,609543,404225,361292,358904
217641,218427,234789,244292,277483,232893,262081,220329
1156084,985723,544297,642120,601402,573775,557448,502992
262375095,311276747,267872486,262697117,251872536,303249016,257985613,257956362
839211890,824751789,814568973,799105976,804457805,792398650,818059622,798028110
202279,216546,170283,169432,204777,223976,175437,165915
38124,33079,37221,32268,40817,127805,26286,23791
910957,501012,1106307,471364,712029,507731,622740,515767
2216383,2578114,1567234,3706196,3113429,2594463,2519242,2693160
31286,36340,30308,33772,31541,27574,35459,42965
55301857,59888242,58054623,52961934,48891945,50204656,49491068,54355104
103082,78755,82217,87073,62854,73484,74701,87551
68905,80231,89957,72961,84422,60583,97978,77883
1898761,500615,190630,6781443,7452243,6967942,7126874,7290058
28253,31148,28479,30495,25841,24461,21229,32568
133384,125665,116416,106813,125794,115116,120298,121967
2142108,2128395,1725547,1475656,1369253,1411444,1399498,1252375
612977,1244417,1304638,1610492,1656289,1619046,1660277,1457491
189378,166731,179690,226676,222247,269647,208461,215449
233109,249319,152772,138472,140504,145424,141286,120984
701454,860998,817110,761733,813248,803639,798073,606949
76304,79115,328988,280219,78421,74812,326594,245295
57340,54187,55440,54411,51286,51584,52423,55246
1415883,1378465,1400621,1439313,1336088,1292912,1307953,1416737
202953,205706,187420,204631,201017,225002,203124,182854
354803,458990,215804,494239,345852,223796,390528,201021
127010,139517,127300,137113,145195,112978,159522,117890
1565993,1549790,1695429,1631868,1940155,1819757,1924246,1820201
211429,105309,206658,67739,45566,60565,105211,106396
205845,164375,186701,29131,35130,42372,31661,38610
1431648,1175919,6936236,8596939,7247598,7904204,5945618,7746006
353081,258991,273455,241712,263296,255853,259715,276179
145628,136155,108324,166967,139772,106761,138490,104397
7606840,8277793,11053263,11329824,8918554,8891668,7460278,7842324
2100644,2196080,2295657,1891636,1709068,2287267,2038940,1999119
384991,420938,361479,344169,397290,401436,408854,405263
10831950,11180729,11451000,10859441,10830403,10069547,10769273,10902029
47371,83955,50397,55735,76296,53852,50569,49167
18044577,21580375,20861884,6596438,7296898,6792220,21564393,6569088
9009,10132,13192,12018,12835,11550,13957,10475
45450,1275068,1212795,929400,1527197,1357859,1177347,1332707
73053,62013,65259,78081,70866,79339,59318,65801
28211714,29421186,29441904,31512368,33615435,31602463,33769573,30780841
366117,337252,353640,349191,391741,368705,408388,360745
4864563,5564494,7176026,64951286,60767971,66805472,56257536,71086391
3166044,3115013,2961944,3098056,3014462,3008953,3190981,3201638
2047640,2276563,1995605,2037748,2004674,1675130,2040678,1915569
216365,141071,173427,147054,169625,169821,128464,144231
6245495,5963920,5467735,5897495,6103688,5901821,5962714,6107786
79636,109154,173909,60532,59548,107502,70577,132978
524753,552502,534434,571223,536995,606667,1223545,725065
122801,79789,9892,4385,6655,6753,4529,9964
161666,191716,101503,121824,136129,150583,134872,107617
65778,81115,83963,74099,76186,92622,76143,68975
304610,297779,336376,329857,354686,340777,354406,274000
12893,11149,10679,17327,26449,7228,6524,5533
4428626,5367840,5621778,8431275,6948811,6262177,5455863,5849095
69293826,82729320,80067338,80315804,83296378,64720356,82068577,70243614
70084,67762,62016,63533,62144,61209,64615,58994
393577,465704,592053,904706,752735,773957,914568,1068802
15102,19780,16597,16358,12877,22890,18975,16007
151584,147706,160266,143451,148101,148789,140058,137495
1179714,1130273,834161,771296,710517,640491,509970,517416
226651,219922,225356,223431,183247,163733,234201,226012
116485,144604,116512,108178,123023,99493,124981,108500
361346,374172,363115,347651,410566,340299,299742,360828
481327,553259,531959,956793,571535,447344,521698,540768
112441,146170,128009,136578,155406,156938,149222,104181
56382,69118,60550,43889,139804,53169,65807,40006
3262143,3021420,2997363,3345151,3333928,3005840,3164245,3289138
8709529,8519075,14296503,14807815,8947165,9001593,15878919,14002870
2390264,2526537,2316070,2489761,2315777,2689496,2294451,2633493
120236,112011,119300,77064,94768,112451,76813,144521
696300,741182,786595,74653,682499,694749,56853,61479
710592,409485,534720,430869,435186,433218,480143,376862
16514502,1180093,3621408,98931,931654,445796,336250,150013
34401,36110,43617,34381,50845,30408,37335,49737
